date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:27	24103/24103	---M-Z	200	added ('OK')	text/javascript	etag:%225e27-638ec1835c129-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/masonry-layout/masonry.pkgd.min.js	(from https://themesdesign.in/tocly/layouts/ui-cards.html)
19:43:49	20735/20735	---M-Z	200	added ('OK')	text/javascript	etag:%2250ff-638ec1835c129-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/magnific-popup/jquery.magnific-popup.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/magnific-popup/jquery.magnific-popup.min.js	(from https://themesdesign.in/tocly/layouts/ui-lightbox.html)
19:43:49	1777/1777	---M-Z	200	added ('OK')	text/javascript	etag:%226f1-638ec1832b3ea-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/lightbox.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/lightbox.init.js	(from https://themesdesign.in/tocly/layouts/ui-lightbox.html)
19:43:50	11084/11084	---M-Z	200	added ('OK')	text/css	etag:%222b4c-638ec183505aa-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/ion-rangeslider/css/ion.rangeSlider.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/ion-rangeslider/css/ion.rangeSlider.min.css	(from https://themesdesign.in/tocly/layouts/ui-rangeslider.html)
19:43:51	41171/41171	---M-Z	200	added ('OK')	text/javascript	etag:%22a0d3-638ec183505aa-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/ion-rangeslider/js/ion.rangeSlider.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/ion-rangeslider/js/ion.rangeSlider.min.js	(from https://themesdesign.in/tocly/layouts/ui-rangeslider.html)
19:43:52	1343/1343	---M-Z	200	added ('OK')	text/javascript	etag:%2253f-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/range-sliders.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/range-sliders.init.js	(from https://themesdesign.in/tocly/layouts/ui-rangeslider.html)
19:43:52	4829/4829	---M-Z	200	added ('OK')	text/css	etag:%2212dd-638ec18394b69-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/round-slider/roundslider.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/round-slider/roundslider.min.css	(from https://themesdesign.in/tocly/layouts/ui-roundslider.html)
19:43:53	33614/33614	---M-Z	200	added ('OK')	text/javascript	etag:%22834e-638ec18394b69-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/round-slider/roundslider.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/round-slider/roundslider.min.js	(from https://themesdesign.in/tocly/layouts/ui-roundslider.html)
19:43:53	1336/1336	---M-Z	200	added ('OK')	text/javascript	etag:%22538-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/roundslider.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/roundslider.init.js	(from https://themesdesign.in/tocly/layouts/ui-roundslider.html)
19:43:53	4084/4084	---M-Z	200	added ('OK')	text/javascript	etag:%22ff4-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/@curiosityx/bootstrap-session-timeout/index.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/@curiosityx/bootstrap-session-timeout/index.js	(from https://themesdesign.in/tocly/layouts/ui-session-timeout.html)
19:43:54	217/217	---M-Z	200	added ('OK')	text/javascript	etag:%22d9-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/session-timeout.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/session-timeout.init.js	(from https://themesdesign.in/tocly/layouts/ui-session-timeout.html)
19:43:54	23932/23932	---M-Z	200	added ('OK')	text/css	etag:%225d7c-638ec18396aa9-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/sweetalert2/sweetalert2.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/sweetalert2/sweetalert2.min.css	(from https://themesdesign.in/tocly/layouts/ui-sweet-alert.html)
19:43:55	46668/46668	---M-Z	200	added ('OK')	text/javascript	etag:%22b64c-638ec18396aa9-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/sweetalert2/sweetalert2.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/sweetalert2/sweetalert2.min.js	(from https://themesdesign.in/tocly/layouts/ui-sweet-alert.html)
19:43:55	4443/4443	---M-Z	200	added ('OK')	text/javascript	etag:%22115b-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/sweet-alerts.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/sweet-alerts.init.js	(from https://themesdesign.in/tocly/layouts/ui-sweet-alert.html)
19:43:56	210/210	---M-Z	200	added ('OK')	text/css	etag:%22d2-638ec18336f6a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/bootstrap-rating/bootstrap-rating.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/bootstrap-rating/bootstrap-rating.css	(from https://themesdesign.in/tocly/layouts/ui-rating.html)
19:43:57	3681/3681	---M-Z	200	added ('OK')	text/javascript	etag:%22e61-638ec18336f6a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/bootstrap-rating/bootstrap-rating.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/bootstrap-rating/bootstrap-rating.min.js	(from https://themesdesign.in/tocly/layouts/ui-rating.html)
19:43:57	713/713	---M-Z	200	added ('OK')	text/javascript	etag:%222c9-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/rating-init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/rating-init.js	(from https://themesdesign.in/tocly/layouts/ui-rating.html)
19:43:58	6454/6454	---M-Z	200	added ('OK')	text/css	etag:%221936-638ec183b1089-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/toastr/build/toastr.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/toastr/build/toastr.min.css	(from https://themesdesign.in/tocly/layouts/ui-notifications.html)
19:43:59	5251/5251	---M-Z	200	added ('OK')	text/javascript	etag:%221483-638ec183b1089-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/toastr/build/toastr.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/toastr/build/toastr.min.js	(from https://themesdesign.in/tocly/layouts/ui-notifications.html)
19:44:01	3175/3175	---M-Z	200	added ('OK')	text/javascript	etag:%22c67-638ec1832c38a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/toastr.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/toastr.init.js	(from https://themesdesign.in/tocly/layouts/ui-notifications.html)
19:44:01	2338/2338	---M-Z	200	added ('OK')	text/javascript	etag:%22922-638ec18337f0a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/bs-custom-file-input/bs-custom-file-input.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/bs-custom-file-input/bs-custom-file-input.min.js	(from https://themesdesign.in/tocly/layouts/form-elements.html)
19:44:01	25/25	---M--	200	added ('OK')	text/javascript	etag:%2219-638ec1832b3ea%22	https://themesdesign.in/tocly/layouts/assets/js/pages/form-element.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/form-element.init.js	(from https://themesdesign.in/tocly/layouts/form-elements.html)
19:44:02	42773/42773	---M-Z	200	added ('OK')	text/javascript	etag:%22a715-638ec1838fd49-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/parsleyjs/parsley.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/parsleyjs/parsley.min.js	(from https://themesdesign.in/tocly/layouts/form-validation.html)
